"it","im","dep","meth","out"
1,1,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,1,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,1,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,1,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,1,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,1,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,2,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,2,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,2,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,2,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,2,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,2,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,3,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,3,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,3,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,3,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,3,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,3,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,4,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,4,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,4,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,4,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,4,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,4,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,5,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,5,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,5,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,5,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,5,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,5,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,6,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,6,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,6,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,6,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,6,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,6,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,7,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,7,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,7,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,7,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,7,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,7,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,8,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,8,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,8,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,8,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,8,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,8,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,9,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,9,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,9,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,9,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,9,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,9,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,10,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,10,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,10,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,10,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,10,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,10,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,11,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,11,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,11,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,11,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,11,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,11,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,12,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,12,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,12,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,12,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,12,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,12,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,13,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,13,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,13,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,13,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,13,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,13,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,14,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,14,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,14,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,14,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,14,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,14,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,15,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,15,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,15,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,15,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,15,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,15,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,16,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,16,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,16,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,16,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,16,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,16,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,17,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,17,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,17,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,17,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,17,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,17,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,18,"education","pmm","cycle2001, cycle2003, cycle2007, cycle2009, cycle2011, cycle2015, stratum4, stratum5, stratum7"
1,18,"education","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,18,"pir","pmm","cycle2001, cycle2003, cycle2007, cycle2011, cycle2015, stratum2, stratum3, stratum4, stratum7"
1,18,"pir","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
1,18,"smoke","pmm","cycle2001, cycle2005, cycle2007, cycle2011, cycle2013, stratum2, stratum3, stratum4, stratum6"
1,18,"smoke","pmm","mice detected that your data are (nearly) multi-collinear.
It applied a ridge penalty to continue calculations, but the results can be unstable.
Does your dataset contain duplicates, linear transformation, or factors with unique respondent names?"
